,mean,hess_se,robust_se,z_score,p_value,se_ratio
.sp_inv_base_intensity,26.227615,0.004801183,0.021935299,1195.6808,0.0,4.568728
.weights[0],-3.755031,0.017898273,0.116451934,-32.24533,0.0,6.5063224
.weights[1],2.504211,0.018922864,0.12229515,20.47678,0.0,6.462825
.weights[2],-3.02539,0.017983533,0.11868885,-25.490093,0.0,6.5998626
.weights[3],-1.0833638,0.017982688,0.12082259,-8.966566,3.0590243e-19,6.718828
.weights[4],-2.1640735,0.017906511,0.11944021,-18.118465,0.0,6.6702113
.weights[5],-6.323221,0.017159263,0.11056504,-57.19006,0.0,6.443461
.weights[6],0.42496264,0.01777965,0.12075759,3.519138,0.00043295132,6.7918987
.weights[7],-3.510401,0.018283863,0.120687395,-29.086725,0.0,6.6007605
.weights[8],1.8282154,0.01850956,0.12038412,15.186516,0.0,6.503889
.weights[9],-4.213385,0.017579192,0.114488766,-36.801735,0.0,6.512743
.weights[10],-4.0384426,0.016992858,0.106812485,-37.808712,0.0,6.285728
.weights[11],-7.32807,0.016286308,0.10045483,-72.948906,0.0,6.168054
.weights[12],-3.907189,0.018913891,0.11868125,-32.921703,0.0,6.2748194
.weights[13],9.726181,0.022589915,0.15231265,63.856686,0.0,6.742507
.weights[14],27.495768,0.024172757,0.15945917,172.4314,0.0,6.596648
.weights[15],12.909756,0.02312562,0.14650868,88.11598,0.0,6.3353405
.weights[16],2.2567267,0.019960824,0.12168664,18.545395,0.0,6.096273
.weights[17],0.5450528,0.019604972,0.12476703,4.3685646,1.2506572e-05,6.3640504
.weights[18],6.8609433,0.020089014,0.13220926,51.894577,0.0,6.581172
.weights[19],-2.10348,0.01864689,0.12224658,-17.206863,0.0,6.5558696
.weights[20],-1.948346,0.01721927,0.11455909,-17.007345,0.0,6.652959
.weights[21],-8.141766,0.015515234,0.099264994,-82.02051,0.0,6.397905
.weights[22],-6.91016,0.015763875,0.1038539,-66.537315,0.0,6.5880947
.weights[23],-4.7565355,0.016603181,0.11317208,-42.029232,0.0,6.816289
