,mean,hess_se,robust_se,z_score,p_value,se_ratio
.sp_inv_base_intensity,4.1212277,0.0038097482,0.0016081724,2562.6777,0.0,0.4221204
.logit_branching_ratio,1.6483954,0.0008254044,0.0064796163,254.39708,0.0,7.850232
.sp_inv_decay_rate,133.9878,0.01586612,0.08625207,1553.4443,0.0,5.4362426
.weights[0],-0.12373454,0.008488635,0.0092168525,-13.424815,0.0,1.0857874
.weights[1],0.22140378,0.0087085655,0.009215179,24.025988,0.0,1.0581741
.weights[2],-0.38779718,0.008333822,0.008600422,-45.09048,0.0,1.0319902
.weights[3],-0.17549197,0.008444962,0.009358013,-18.753124,0.0,1.1081178
.weights[4],-0.13094808,0.008454541,0.00940157,-13.928321,0.0,1.1120143
.weights[5],-0.42793423,0.0082970355,0.009049645,-47.287407,0.0,1.0907083
.weights[6],-0.082542956,0.008510608,0.009443371,-8.740836,2.3139083e-18,1.1096
.weights[7],-0.039039593,0.008772552,0.009796353,-3.985115,6.744744e-05,1.1167051
.weights[8],0.76738536,0.009101766,0.009927433,77.29948,0.0,1.090715
.weights[9],-0.06630134,0.008693473,0.009030749,-7.341732,2.1084698e-13,1.0387964
.weights[10],0.04229357,0.008468381,0.00862558,4.9032726,9.4253056e-07,1.018563
.weights[11],-0.69461185,0.008104093,0.008251594,-84.17911,0.0,1.0182008
.weights[12],0.17578593,0.008857659,0.009676007,18.167198,0.0,1.0923887
.weights[13],0.39928058,0.009467451,0.010762743,37.098404,0.0,1.1368153
.weights[14],3.1200235,0.011011159,0.01345382,231.90614,0.0,1.221835
.weights[15],1.218827,0.009944676,0.010707549,113.82876,0.0,1.0767117
.weights[16],0.83890617,0.009409688,0.009700497,86.48074,0.0,1.0309052
.weights[17],0.09945911,0.0088848695,0.009125186,10.899406,1.1601173e-27,1.0270479
.weights[18],0.5444103,0.0089912675,0.01004234,54.2115,0.0,1.1168993
.weights[19],-0.3464612,0.008455284,0.009579771,-36.165916,0.0,1.1329923
.weights[20],-0.43065467,0.008052504,0.008671235,-49.66474,0.0,1.0768372
.weights[21],-0.86421293,0.00777088,0.008096817,-106.7349,0.0,1.0419433
.weights[22],-0.868489,0.0077525456,0.008156818,-106.47399,0.0,1.052147
.weights[23],-0.6470496,0.00799081,0.008597083,-75.263855,0.0,1.0758713
